Sample Number,ClassName,Snippet Number,Method,Exist
7,AtomicMarkableReference,4,"boolean compareAndSet(V expectedReference, V newReference, boolean expectedMark, boolean newMark)",True
7,AtomicMarkableReference,5,"void set(V newReference, boolean newMark)",True
8,AtomicReference,1,AtomicReference(V initialValue),False
8,AtomicReference,2,V get(),True
8,AtomicReference,3,V getAndSet(V newValue),True
8,AtomicReference,4,"boolean compareAndSet(V expect, V update)",True
8,AtomicReference,5,void lazySet(V newValue),True
9,AtomicReferenceArray,1,AtomicReferenceArray(int length),False
9,AtomicReferenceArray,2,get(int index),False
9,AtomicReferenceArray,3,"set(int index, V newValue)",False
9,AtomicReferenceArray,4,"lazySet(int index, V newValue)",False
9,AtomicReferenceArray,5,"compareAndSet(int index, V expect, V update)",False
10,AtomicReferenceFieldUpdater,1,"boolean compareAndSet(Object expect, Object update)",False
10,AtomicReferenceFieldUpdater,2,"boolean weakCompareAndSet(Object expect, Object update)",False
10,AtomicReferenceFieldUpdater,3,void set(Object newValue),False
10,AtomicReferenceFieldUpdater,4,Object get(),False
10,AtomicReferenceFieldUpdater,5,Object getAndSet(Object newValue),False
11,AtomicStampedReference,1,"AtomicStampedReference(V initialRef, int initialStamp)",False
11,AtomicStampedReference,2,"boolean compareAndSet(V expectedReference, V newReference, int expectedStamp, int newStamp)",True
11,AtomicStampedReference,3,V getReference(),True
11,AtomicStampedReference,4,int getStamp(),True
11,AtomicStampedReference,5,"void set(V newReference, int newStamp)",True
12,DoubleAccumulator,1,"DoubleAccumulator(DoubleBinaryOperator accumulatorFunction, double identity)",False
12,DoubleAccumulator,2,double get(),True
12,DoubleAccumulator,3,void accumulate(double x),True
12,DoubleAccumulator,4,DoubleAccumulator combine(DoubleAccumulator other),False
12,DoubleAccumulator,5,DoubleBinaryOperator getFunction(),False
13,DoubleAdder,1,DoubleAdder(),False
13,DoubleAdder,2,void add(double x),True
13,DoubleAdder,3,void increment(),False
13,DoubleAdder,4,void reset(),True
13,DoubleAdder,5,double sum(),True
14,LongAccumulator,1,"LongAccumulator(LongBinaryOperator accumulatorFunction, long identity)",False
14,LongAccumulator,2,void accumulate(long x),True
14,LongAccumulator,3,long get(),True
14,LongAccumulator,4,void reset(),True
14,LongAccumulator,5,LongBinaryOperator getFunction(),False
15,LongAdder,1,LongAdder add(long x),False
15,LongAdder,2,long sum(),True
15,LongAdder,3,void reset(),True
15,LongAdder,4,LongAdder increment(),False
15,LongAdder,5,LongAdder add(long x),False
